Идентификатор,Наименование,Адрес,Выручка 2020,Выручка 2021,Выручка 2022,Дельта по выручке,Число сотрудников 2020,Число сотрудников 2021,Число сотрудников 2022,Дельта по сотрудникам
110612,Бургер Кинг,"город Москва, Щёлковское шоссе, дом 100, корпус 100",31726367.0,35424904.0,39809271.0,8082904.0,15.0,,18.0,3.0
291366,ONE PRICE COFFEE,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Пятницкий переулок, дом 8, строение 1",28271544.0,,36324389.0,8052845.0,6.0,,18.0,12.0
318301,Пекарня,"город Москва, бульвар Дмитрия Донского, дом 1",27308661.0,,35332572.0,8023911.0,19.0,,14.0,-5.0
140750,Рынок и общепит ШУК,"город Москва, Весковский переулок, дом 7",24347369.0,26313541.0,32340587.0,7993218.0,6.0,,18.0,12.0
315007,WINE DEPO (ДЕПО МОСКВА),"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Лесная улица, дом 20, строение 3",31809509.0,34472970.0,39724512.0,7915003.0,13.0,,13.0,0.0
357870,Крошка Картошка,"город Москва, Новоясеневский проспект, дом 7",23615376.0,,31514025.0,7898649.0,9.0,6.0,19.0,10.0
343097,Столовая при ФГБОУ ВО МПГУ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Несвижский переулок, дом 3",20620102.0,22100740.0,28501019.0,7880917.0,16.0,,15.0,-1.0
229526,Вкусный кофе с собой,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ломоносовский, проспект Вернадского, дом 29, помещение 5Н/5",25014962.0,24002775.0,32884032.0,7869070.0,17.0,,18.0,1.0
29292,ГБОУ № 2089 СОШ № 3,"город Москва, 1-я Вольская улица, дом 22, корпус 2",30073039.0,24273365.0,37906236.0,7833197.0,9.0,11.0,12.0,3.0
21484,БУФЕТ ШК.191,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, Профсоюзная улица, дом 15А",21485329.0,23908992.0,29280032.0,7794703.0,6.0,,10.0,4.0
260213,Маэстро,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северный, 9-я Северная линия, дом 19",31836277.0,39495742.0,39586376.0,7750099.0,10.0,,19.0,9.0
372368,Шаурма,"город Москва, Карачаровское шоссе, дом 15, строение 2",27508453.0,,35228416.0,7719963.0,13.0,,7.0,-6.0
189869,Бутово Гриль,"город Москва, Старокачаловская улица, дом 5",20690586.0,37610151.0,28403042.0,7712456.0,15.0,15.0,6.0,-9.0
269565,Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кунцево, Ярцевская улица, дом 25А",29279570.0,24921928.0,36971504.0,7691934.0,13.0,15.0,15.0,2.0
147261,DUCKSTARS,"город Москва, Благовещенский переулок, дом 3, строение 1",29817481.0,29230440.0,37485739.0,7668258.0,17.0,6.0,12.0,-5.0
371797,Кафе «Мейджик»,"город Москва, Измайловский проезд, дом 1",28103226.0,35320464.0,35738685.0,7635459.0,11.0,11.0,19.0,8.0
372331,ВКУСНЫЙ КОФЕ,"город Москва, поселение ""Мосрентген"", Калужское шоссе, 20-й километр, владение 4, строение 1",25113148.0,37104840.0,32684256.0,7571108.0,18.0,12.0,13.0,-5.0
280853,Шаурма По-Братски,"город Москва, 3-й Нижнелихоборский проезд, дом 15/27",26222961.0,21619837.0,33755956.0,7532995.0,13.0,,12.0,-1.0
210723,Пицца & Паста Пауло,"город Москва, город Московский, улица Хабарова, дом 2",25445339.0,31367244.0,32971556.0,7526217.0,13.0,15.0,8.0,-5.0
221715,Корпоративный ресторан Карэль,"город Москва, проспект Андропова, дом 18, корпус 7",24133441.0,30936841.0,31658963.0,7525522.0,11.0,,14.0,3.0
169338,La Provincia,"город Москва, Калужская площадь, дом 1, корпус 2",20781655.0,22024395.0,28299456.0,7517801.0,17.0,,7.0,-10.0
351247,ДАБЛБИ,"город Москва, Ярцевская улица, дом 19",20918231.0,29790882.0,28415261.0,7497030.0,13.0,18.0,15.0,2.0
185064,Крошка Картошка,"город Москва, Снежная улица, дом 27",29174646.0,,36668897.0,7494251.0,18.0,15.0,7.0,-11.0
267860,Шаурма,"Малая Филёвская улица, дом 22",28470200.0,23295997.0,35947649.0,7477449.0,6.0,,16.0,10.0
27361,СТОЛОВАЯ ШКОЛЫ 1232,"город Москва, Кутузовский проспект, дом 28",25836049.0,23138188.0,33232182.0,7396133.0,9.0,6.0,19.0,10.0
262548,Пили Дымили,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Николоямская улица, дом 62",31147679.0,33132285.0,38521484.0,7373805.0,18.0,,11.0,-7.0
145150,Шаурма,"город Москва, бульвар Маршала Рокоссовского, дом 31",22536134.0,31647374.0,29894614.0,7358480.0,6.0,,15.0,9.0
352299,Камераобскура,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Тишинская площадь, дом 1, строение 1",21749557.0,39868997.0,29078545.0,7328988.0,10.0,8.0,11.0,1.0
323985,"Тандыр, Пекарня","Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатино-Садовники, Коломенский проезд, дом 8, корпус 5",24643628.0,23821887.0,31958415.0,7314787.0,14.0,,19.0,5.0
353636,МосКальян,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Большой Спасоглинищевский переулок, дом 3, строение 5",24744295.0,34141698.0,32047013.0,7302718.0,12.0,,19.0,7.0
307091,KANO,"город Москва, Ярцевская улица, дом 31",30723863.0,27111795.0,38005779.0,7281916.0,16.0,12.0,16.0,0.0
310328,Кафе (закрытое),"город Москва, Якиманская набережная, дом 4, строение 1",31182900.0,36360629.0,38463885.0,7280985.0,15.0,,11.0,-4.0
27537,ГБОУ ШКОЛА №867 «ОАО Комбинат дошкольного питания»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Братеево, Ключевая улица, дом 6, корпус 2",25239926.0,,32462089.0,7222163.0,8.0,,9.0,1.0
311228,Хмель и солод,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лосиноостровский, улица Малыгина, дом 5, корпус 1",32157061.0,34761942.0,39373620.0,7216559.0,7.0,14.0,17.0,10.0
28731,СТОЛОВАЯ ПРИ ШКОЛЕ 1494 (3),"город Москва, Ботаническая улица, дом 11",32728798.0,,39850111.0,7121313.0,8.0,6.0,12.0,4.0
87779,МОНО,"город Москва, Покровский бульвар, дом 6/20, строение 1",32057810.0,,39160583.0,7102773.0,18.0,15.0,8.0,-10.0
241590,Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Фили-Давыдково, улица Артамонова, дом 5",25053629.0,38140821.0,32130215.0,7076586.0,17.0,16.0,11.0,-6.0
155857,Глав Пирог,"город Москва, Беговая улица, дом 17, корпус 1",30421291.0,,37454463.0,7033172.0,12.0,16.0,10.0,-2.0
297362,Coffee XO,"город Москва, Южнобутовская улица, дом 44",28948384.0,27210751.0,35968592.0,7020208.0,6.0,12.0,15.0,9.0
255817,Вкусно - и точка,"город Москва, Широкая улица, дом 13А",23562164.0,,30575298.0,7013134.0,17.0,17.0,15.0,-2.0
171658,Магадан,"город Москва, Берсеневский переулок, дом 3/10, строение 8",22688638.0,31471584.0,29694930.0,7006292.0,11.0,12.0,10.0,-1.0
324885,Шаурма,"город Москва, Муравская улица, дом 42, корпус 1",24154699.0,,31136051.0,6981352.0,18.0,16.0,9.0,-9.0
284133,G-Voice,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Покровское-Стрешнево, Волоколамское шоссе, домовладение 89, строение 1",27040035.0,,33948626.0,6908591.0,9.0,8.0,13.0,4.0
266424,ONE PRICE COFFEE,"город Москва, улица Покрышкина, дом 4",27676687.0,33020578.0,34558832.0,6882145.0,8.0,9.0,8.0,0.0
218929,Кофе Десерты То Что Надо,"город Москва, внутригородская территория поселение Московский, город Московский, Солнечная улица, дом 9",28630904.0,,35508829.0,6877925.0,6.0,11.0,18.0,12.0
215097,Пекарня,"город Москва, поселение Внуковское, улица Лётчика Ульянина, дом 2",27735136.0,,34610010.0,6874874.0,19.0,19.0,13.0,-6.0
338595,Баракат,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Таганская площадь, дом 88, строение 2",27443661.0,21326773.0,34314193.0,6870532.0,16.0,,9.0,-7.0
160033,Штос,"город Москва, город Зеленоград, корпус 1650",20588091.0,,27454879.0,6866788.0,11.0,15.0,16.0,5.0
26297,Андерсон,"город Москва, улица Обручева, дом 30/1, строение 1",29814037.0,,36678515.0,6864478.0,11.0,18.0,17.0,6.0
286241,Osteria Mario,"город Москва, Каширское шоссе, дом 61Г",29782383.0,24195052.0,36573628.0,6791245.0,17.0,10.0,6.0,-11.0
226088,Wine CO,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, улица Балчуг, дом 5",22167394.0,,28947525.0,6780131.0,13.0,7.0,15.0,2.0
345950,Wаурма&Я-Ташкент,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марфино, улица Академика Королёва, дом 28, корпус 1",20019863.0,39244305.0,26796023.0,6776160.0,14.0,,19.0,5.0
223615,Четыре Комнаты,"город Москва, улица Дыбенко, дом 36, корпус 1",26653871.0,32337436.0,33429242.0,6775371.0,13.0,,8.0,-5.0
173091,Мимино,"город Москва, Енисейская улица, дом 5",28207545.0,33127777.0,34968360.0,6760815.0,13.0,6.0,10.0,-3.0
27628,СТОЛОВАЯ ШК.765,"город Москва, Литовский бульвар, дом 10, корпус 2",30057090.0,24820245.0,36804128.0,6747038.0,13.0,,19.0,6.0
345382,Кафе,"Российская Федерация, город Москва, внутригородская территория поселение Вороновское, деревня Косовка, земельный участок 1",28290291.0,35945594.0,35012327.0,6722036.0,12.0,14.0,7.0,-5.0
255460,Кофейня «Правда кофе»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Бауманская улица, дом 33/2, строение 3",32311351.0,24039397.0,39002943.0,6691592.0,18.0,,10.0,-8.0
168382,Корчма«Тарас Бульба»,"город Москва, улица Намёткина, дом 13Г",26374069.0,,33037103.0,6663034.0,7.0,13.0,10.0,3.0
342524,Кафе «Free Pizza&Free dog»,"город Москва, Багратионовский проезд, дом 1А, корпус 1",26204170.0,,32864711.0,6660541.0,6.0,10.0,14.0,8.0
317208,Sushi Maximum,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, 7-я Кожуховская улица, дом 9",20713795.0,33380024.0,27369056.0,6655261.0,19.0,,12.0,-7.0
21449,Буфет при ЦО №1852,"город Москва, 2-я Владимирская улица, дом 22",22547908.0,,29199806.0,6651898.0,12.0,6.0,14.0,2.0
331632,Кофе «Электрическая мастерская»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Электрический переулок, дом 3/10, строение 3",21860376.0,39244240.0,28512163.0,6651787.0,9.0,16.0,19.0,10.0
345191,Кафе «Foodpoint»,"город Москва, внутригородская территория муниципальный округ Чертаново Южное, Кировоградская улица, дом 23А, корпус 1",23877104.0,37825783.0,30510843.0,6633739.0,16.0,,19.0,3.0
298352,Шаурма.Выпечка.,"город Москва, Новоостаповская улица, дом 6А, строение 1",20832371.0,37366389.0,27461337.0,6628966.0,16.0,19.0,7.0,-9.0
229063,Название Забыл,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ломоносовский, Ленинский проспект, дом 86",26750248.0,25570466.0,33346607.0,6596359.0,11.0,,6.0,-5.0
152721,Спектр,"город Москва, Усачёва улица, дом 35, строение 4",21295877.0,38445634.0,27891389.0,6595512.0,13.0,,10.0,-3.0
27345,Школа 1429,"город Москва, Переведеновский переулок, дом 11",20193888.0,,26723372.0,6529484.0,18.0,9.0,9.0,-9.0
213987,Бургер Кинг,"город Москва, Большая Тульская улица, дом 13",25426540.0,30258290.0,31910824.0,6484284.0,19.0,,12.0,-7.0
250220,Донер Хаус,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Капотня, 2-й квартал Капотня, дом 2",26763487.0,39426983.0,33237829.0,6474342.0,10.0,,12.0,2.0
29159,СТОЛОВАЯ ШК 498,"город Москва, 2-я Дубровская улица, дом 3",28914347.0,,35357828.0,6443481.0,18.0,,17.0,-1.0
339659,ББ&Бургерс,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Маросейка, дом 4/2, строение 1",31038736.0,30681522.0,37480369.0,6441633.0,19.0,,18.0,-1.0
171448,Razdevalka bar,"город Москва, Сретенский бульвар, дом 6/1, строение 2",32086417.0,,38527328.0,6440911.0,7.0,,13.0,6.0
229823,Dolce far Niente,"Смоленская улица, дом 6, помещение 1Н/2",20673160.0,,27098348.0,6425188.0,10.0,6.0,9.0,-1.0
316344,КАФЕ БИСТРО ХАЛЯЛЬ ГОРЯЧАЯ ВЫПЕЧКА,"город Москва, Карельский бульвар, дом 4А",21946769.0,28379565.0,28369197.0,6422428.0,14.0,,6.0,-8.0
152579,KFC,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица Пресненский Вал, дом 6, строение 2",32294637.0,20042681.0,38697409.0,6402772.0,7.0,7.0,10.0,3.0
288496,Теремок,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьино, улица Перерва, дом 43, корпус 1",25979277.0,,32353358.0,6374081.0,16.0,12.0,8.0,-8.0
204844,Французская пекарня SeDelice,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатинский Затон, проспект Андропова, дом 21",28968087.0,37450219.0,35313805.0,6345718.0,18.0,8.0,13.0,-5.0
304900,FoodBeer,"город Москва, Корабельная улица, дом 17, корпус 2",20452468.0,27695307.0,26796381.0,6343913.0,17.0,,15.0,-2.0
169938,Nush Appetit,"город Москва, Дубнинская улица, дом 19",25572931.0,,31913163.0,6340232.0,19.0,13.0,12.0,-7.0
372926,ЧАО ПИЦЦА,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, площадь Киевского Вокзала, дом 2",22513647.0,,28833799.0,6320152.0,6.0,11.0,17.0,11.0
347525,El Cafe,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, улица Новый Арбат, дом 36, строение 3",23523878.0,38110499.0,29811727.0,6287849.0,19.0,14.0,7.0,-12.0
288637,Буханка,"город Москва, поселение Московский, улица Татьянин Парк, дом 19, корпус 1",29801108.0,35714286.0,36039652.0,6238544.0,16.0,6.0,15.0,-1.0
246811,Кафе «Тифлиси»,"город Москва, поселение Внуковское, Омская улица, дом 16",30183364.0,28918397.0,36411435.0,6228071.0,9.0,14.0,18.0,9.0
314547,Пекарня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Царицыно, Луганская улица, дом 10",24134196.0,30745707.0,30360623.0,6226427.0,17.0,,8.0,-9.0
26323,У Эдуарда,"город Москва, Профсоюзная улица, дом 27, корпус 1",28662320.0,36827367.0,34845338.0,6183018.0,17.0,,8.0,-9.0
290264,Вкусно - и точка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ясенево, 38-й километр Московской Кольцевой Автодороги, владение 4Б",25500198.0,24988480.0,31626516.0,6126318.0,17.0,,10.0,-7.0
22651,ТД ГУМ «Фестивальное» «ЯПОНИЯ»,"город Москва, Красная площадь, дом 3",25752987.0,38944663.0,31878210.0,6125223.0,9.0,,17.0,8.0
314667,ONE & DOUBLE,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Павелецкая площадь, дом 1А, строение 1",26993447.0,37384666.0,33088698.0,6095251.0,14.0,19.0,14.0,0.0
171312,Биркрафт,"город Москва, Лесная улица, дом 1/2",22249401.0,,28333479.0,6084078.0,14.0,10.0,11.0,-3.0
213519,Take and Wake,"город Москва, поселение Воскресенское, Чечёрский проезд, дом 51",32868423.0,,38943368.0,6074945.0,18.0,10.0,13.0,-5.0
355572,Вокруг света,"город Москва, Мячковский бульвар, дом 3А",25432788.0,,31491132.0,6058344.0,16.0,,8.0,-8.0
276369,Вьетнамская кухня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Бутово, Старокачаловская улица, дом 5А",31958548.0,34682305.0,38013996.0,6055448.0,16.0,10.0,11.0,-5.0
202150,Милти,"город Москва, улица Гарибальди, дом 23",29176507.0,23570812.0,35193092.0,6016585.0,13.0,17.0,7.0,-6.0
330342,Донар-Кебаб 24,"город Москва, Балаклавский проспект, дом 5А",23992801.0,29887358.0,29993239.0,6000438.0,12.0,17.0,6.0,-6.0
297076,Fabbrica Pasta and Panini,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Столярный переулок, дом 3, корпус 13",23965821.0,32738585.0,29964492.0,5998671.0,14.0,,18.0,4.0
276431,Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Черемушки, улица Цюрупы, дом 13",31975693.0,28990924.0,37963922.0,5988229.0,6.0,,10.0,4.0
210630,Dim Sum,"город Москва, Манежная площадь, дом 1, строение 2",29708855.0,,35661515.0,5952660.0,11.0,,7.0,-4.0
310489,Французская пекарня SeDelice,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, 3-й Крутицкий переулок, дом 18",27554659.0,34267819.0,33486319.0,5931660.0,13.0,13.0,17.0,4.0
204112,Семейное кафе Андерсон,"город Москва, Таганская улица, дом 36, строение 1",28949361.0,,34871380.0,5922019.0,12.0,11.0,12.0,0.0
285646,Ни свет ни заря,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Покровка, дом 41, строение 1",20219911.0,39355992.0,26121403.0,5901492.0,18.0,,11.0,-7.0
23226,Новогиреевское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, Новогиреевская улица, дом 20/34, корпус 3",33207750.0,,39108633.0,5900883.0,11.0,,15.0,4.0
327060,Right Habits Gastrobar,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Обручевский, улица Архитектора Власова, дом 47",26739760.0,30285777.0,32624047.0,5884287.0,7.0,10.0,10.0,3.0
149463,Пекарня,"город Москва, Новокосинская улица, дом 22",25595857.0,,31468326.0,5872469.0,7.0,11.0,16.0,9.0
207434,Hydra Bar,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Никитский бульвар, дом 11/12, строение 1",23435759.0,28610924.0,29304000.0,5868241.0,12.0,11.0,18.0,6.0
150207,Теремок,"город Москва, Кутузовский проспект, дом 57",24444390.0,,30288925.0,5844535.0,12.0,18.0,13.0,1.0
228239,Кафе «Актавест»,"город Москва, Средний Тишинский переулок, дом 8",30287769.0,38995700.0,36115726.0,5827957.0,14.0,9.0,19.0,5.0
347493,Пиццерия,"город Москва, Смольная улица, дом 24Г, строение 3",30759713.0,23650329.0,36565535.0,5805822.0,11.0,16.0,13.0,2.0
262430,Столовая Ивис,"город Москва, улица Стромынка, дом 4, корпус 1",20984057.0,22202169.0,26774618.0,5790561.0,9.0,11.0,12.0,3.0
184265,Вьет Вок,"город Москва, Волоколамское шоссе, дом 1, строение 1",26324337.0,39732401.0,32034816.0,5710479.0,6.0,,19.0,13.0
23695,СТОЛОВАЯ Учебный корпус №5 ГБОУ Школы 814,"город Москва, Веерная улица, дом 38, корпус 1",32325079.0,33026323.0,38010221.0,5685142.0,17.0,9.0,6.0,-11.0
306088,Кубдари,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, Ленинградский проспект, земельный участок 70",20033221.0,,25693376.0,5660155.0,11.0,13.0,18.0,7.0
187928,Дабл Би,"город Москва, Пресненская набережная, дом 2, помещение 176П/2",23828131.0,,29483051.0,5654920.0,13.0,,16.0,3.0
240031,Лаундж-бар «Raccoon House»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Теплый Стан, Профсоюзная улица, дом 128, корпус 2",24464924.0,,30115741.0,5650817.0,10.0,19.0,10.0,0.0
311083,Кафе Евровосток,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 3, строение 1",24398780.0,27536079.0,30002230.0,5603450.0,8.0,,18.0,10.0
317732,Subway,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",26241575.0,,31842762.0,5601187.0,15.0,18.0,18.0,3.0
354174,Кафе «JAPCAKE»,"город Москва, улица Барклая, дом 10",23823397.0,27437492.0,29414434.0,5591037.0,7.0,7.0,15.0,8.0
289545,Bolivar,"город Москва, Потаповский переулок, дом 5, строение 2",23508905.0,38781802.0,29095050.0,5586145.0,7.0,16.0,15.0,8.0
69256,Ян Примус,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Свиблово, Снежная улица, дом 26",21377230.0,,26950418.0,5573188.0,10.0,15.0,13.0,3.0
223965,Golden Girls,"город Москва, 3-я улица Ямского Поля, дом 15",30573309.0,,36130354.0,5557045.0,11.0,19.0,19.0,8.0
26308,Вкусно - и точка,"город Москва, Ленинский проспект, дом 111/2",34341435.0,37094541.0,39897206.0,5555771.0,11.0,10.0,11.0,0.0
258767,Пивница «Синий гном»,"город Зеленоград, Георгиевский проспект, дом 33, корпус 5, помещение 169П",22489735.0,38440004.0,28041605.0,5551870.0,12.0,10.0,8.0,-4.0
28696,СТОЛОВАЯ (ГБПОУ «1-ый МОК»),"город Москва, Староватутинский проезд, дом 6",31974233.0,32982235.0,37518119.0,5543886.0,9.0,14.0,13.0,4.0
29195,ГБОУ школа №236,"город Москва, Клязьминская улица, дом 7, корпус 4",22693479.0,30572756.0,28236899.0,5543420.0,12.0,16.0,15.0,3.0
29037,ШКОЛА №1466 ОАО «КДП»,"город Москва, Севанская улица, дом 6",29696204.0,,35233271.0,5537067.0,11.0,13.0,18.0,7.0
25526,Шоколадница,"город Москва, Ленинградский проспект, дом 12",29940344.0,,35464379.0,5524035.0,19.0,15.0,14.0,-5.0
148734,Вай Мэ,"город Москва, Мясницкая улица, дом 11",26897354.0,21281931.0,32411354.0,5514000.0,16.0,16.0,16.0,0.0
294575,Буханка,"город Москва, Лазоревый проезд, дом 1",31324425.0,33699365.0,36807062.0,5482637.0,10.0,17.0,8.0,-2.0
284427,Cinnabon,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Аминьевское шоссе, дом 6",20199475.0,,25633225.0,5433750.0,13.0,14.0,18.0,5.0
269364,Столовая «Азбука Питания»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Кожевническая улица, дом 7, строение 1",26804089.0,23829347.0,32186482.0,5382393.0,10.0,,15.0,5.0
203000,Кафе ГАГАВА,"город Москва, Большая Черёмушкинская улица, дом 1",24004103.0,20914563.0,29352717.0,5348614.0,7.0,,16.0,9.0
204706,The 312,"город Москва, Сущёвская улица, дом 21, строение 5",34233078.0,30934839.0,39566221.0,5333143.0,7.0,13.0,12.0,5.0
25119,Piccolino,"город Москва, 1-й Колобовский переулок, дом 11",34421021.0,35723279.0,39750328.0,5329307.0,18.0,16.0,19.0,1.0
375352,Вьетнамское кафе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, Митинская улица, дом 51",31787477.0,,37116392.0,5328915.0,11.0,15.0,13.0,2.0
361580,Плов,"город Москва, Пятницкое шоссе, дом 18",21822228.0,,27143737.0,5321509.0,14.0,10.0,12.0,-2.0
27394,Столовая при школе 2097,"город Москва, улица Василия Петушкова, дом 23, корпус 1",20128507.0,34298438.0,25449150.0,5320643.0,6.0,6.0,8.0,2.0
223558,Cofix,"город Москва, Люблинская улица, дом 102А",24739163.0,39664515.0,30057620.0,5318457.0,19.0,14.0,11.0,-8.0
296575,Еще одна кондитерская,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крылатское, Осенний бульвар, дом 20, корпус 1",33725533.0,30802294.0,39031331.0,5305798.0,7.0,6.0,12.0,5.0
259013,KFC,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, площадь Савёловского Вокзала, дом 2",34505376.0,28417150.0,39797158.0,5291782.0,16.0,13.0,16.0,0.0
165513,Primitivo,"город Москва, Никитский бульвар, дом 25",31328094.0,,36600573.0,5272479.0,19.0,9.0,16.0,-3.0
221142,Кофе с собой,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Косино-Ухтомский, улица Татьяны Макаровой, дом 3",34570609.0,26847690.0,39831165.0,5260556.0,12.0,18.0,16.0,4.0
24436,KFC,"город Москва, Ярославское шоссе, дом 114",22148531.0,27325608.0,27378736.0,5230205.0,7.0,19.0,19.0,12.0
369652,Кофейня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, Звёздный бульвар, дом 19, строение 2",24521743.0,38532302.0,29750093.0,5228350.0,19.0,12.0,12.0,-7.0
309730,Ryba International (ДЕПО МОСКВА),"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Лесная улица, дом 20, строение 3",33715132.0,,38940436.0,5225304.0,10.0,17.0,8.0,-2.0
148778,KFC,"город Москва, Люблинская улица, дом 4, корпус 1А",33862583.0,21868492.0,39029253.0,5166670.0,13.0,8.0,10.0,-3.0
370881,Мангал Бургер,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бибирево, улица Плещеева, дом 4, корпус 1, строение 1",22757519.0,31492069.0,27922261.0,5164742.0,10.0,19.0,14.0,4.0
182139,Чайхана Баракат,"город Москва, Новодмитровская улица, дом 2, корпус 2",20616061.0,35484079.0,25771048.0,5154987.0,15.0,,16.0,1.0
344158,Бистро «Арена»,"город Москва, улица Лужники, дом 24, строение 1",20938624.0,35537312.0,26054776.0,5116152.0,6.0,8.0,7.0,1.0
338048,Кофейня «Go ко мне»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, улица Мастеркова, дом 3",23071917.0,,28184408.0,5112491.0,9.0,17.0,11.0,2.0
360000,Patriki,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Малая Бронная улица, дом 21/13, строение 2",32470116.0,33877499.0,37564790.0,5094674.0,14.0,,9.0,-5.0
232966,Французская пекарня SeDelice,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Маршала Малиновского, дом 8",21370642.0,34561889.0,26460005.0,5089363.0,16.0,,6.0,-10.0
297012,Матча Суши и Бенто,"город Москва, внутригородская территория поселение Московский, город Московский, улица Никитина, дом 2",30191642.0,33170020.0,35254834.0,5063192.0,7.0,19.0,14.0,7.0
288016,Шаурма Лаззат,"город Москва, Бумажный проезд, дом 2/2, строение 7",33846038.0,21484100.0,38906326.0,5060288.0,7.0,7.0,7.0,0.0
349566,Столовая,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошево-Мневники, проспект Маршала Жукова, дом 1, строение 1",23437377.0,35595572.0,28487267.0,5049890.0,16.0,15.0,18.0,2.0
275038,SeDelice,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, улица Кузнецкий Мост, дом 18/7",27555075.0,36991883.0,32603100.0,5048025.0,9.0,7.0,9.0,0.0
308890,Закусочная «Колобок»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Братеево, Братеевская улица, дом 31А",22684842.0,,27727782.0,5042940.0,6.0,,15.0,9.0
197416,Prawnbar,"город Москва, Мытная улица, дом 74",33892161.0,37689034.0,38905888.0,5013727.0,16.0,16.0,15.0,-1.0
371134,Милти,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Зюзино, Азовская улица, дом 3",34667704.0,30610786.0,39679900.0,5012196.0,15.0,,7.0,-8.0
21159,Буфет «МЦБИ»,"город Москва, Варшавское шоссе, дом 118, корпус 1",24267643.0,28340345.0,29233349.0,4965706.0,6.0,11.0,9.0,3.0
29590,Столовая ГБОУ ЦО № 936,"город Москва, Задонский проезд, дом 34, корпус 3",34686943.0,35151648.0,39634292.0,4947349.0,10.0,,8.0,-2.0
319679,«Кафе пекарня «Хлеб да Обед»»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатино-Садовники, улица Академика Миллионщикова, дом 7, корпус 1",29784141.0,34079258.0,34722425.0,4938284.0,13.0,11.0,12.0,-1.0
