Идентификатор,Наименование,Адрес
321790,Сулайман Тоо,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Матушкино, город Зеленоград, проспект Генерала Алексеева, дом 6"
343933,One Price Coffee,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Большая Сухаревская площадь, дом 1/2, строение 1"
278008,Табера,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Большой Сухаревский переулок, дом 15, строение 1"
231275,The Truffle,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Рождественский бульвар, дом 1"
353120,Тайская кухня Том-Ям,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Рождественский бульвар, дом 1"
353316,Mac&cheese,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Рождественский бульвар, дом 1"
269139,Roberto,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Рождественский бульвар, дом 20, строение 1"
110161,Вкусно - и точка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Театральный проезд, дом 5, строение 1"
351745,Bros Burritos,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Театральный проезд, дом 5, строение 1"
356006,Крошка Картошка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Театральный проезд, дом 5, строение 1"
318554,АБУ ГОШ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Трубная улица, дом 27, строение 2"
344120,Кафе Уголок вкуса,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, проспект Мира, дом 61"
26015,Джон Джоли,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, улица Кузнецкий Мост, дом 9/10, строение 1"
318697,SUshi,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, Митинская улица, дом 21"
373218,Little Hanoy,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, Митинская улица, дом 40"
375352,Вьетнамское кафе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, Митинская улица, дом 51"
20170,Якитория,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, Пятницкое шоссе, дом 3"
140182,Бар,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, Пятницкое шоссе, дом 3"
177519,Бар Джентльмен клуб Леди,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, Пятницкое шоссе, дом 3"
275813,Семейный зал-трапеза,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, Пятницкое шоссе, дом 40"
350108,BODRO COFFEE,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, Верейская улица, дом 17"
318500,CAKE CLOCK,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, Гжатская улица, дом 5, корпус 1"
247670,ПИЦЕРИЯ ПА ПАН,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, Можайское шоссе, дом 22"
345961,ВОСТОЧНАЯ СКАЗКА.,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, Сколковское шоссе, дом 32"
354447,КАФЕ ПРИ МОЙКЕ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, улица Толбухина, дом 10, корпус 4"
27289,Тануки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Москворечье-Сабурово, Каширское шоссе, дом 46, корпус 1"
275553,Кафе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Москворечье-Сабурово, Каширское шоссе, дом 55А"
278836,КофеТи,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатино-Садовники, Каширский проезд, дом 5"
257240,Cofee Wake,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатино-Садовники, Каширское шоссе, дом 14"
23682,Кафе «Баваро»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатино-Садовники, Нагатинская улица, дом 1, строение 4"
341571,ФАЛАФИЛЛО ДОНЕР АРАБСКАЯ ШАУРМА (ФУДМАРКЕТ),"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатино-Садовники, Нагатинская улица, дом 16"
217256,Суши Store,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатино-Садовники, проспект Андропова, дом 36"
302694,Пекарня «ПЕЧЕНЕГ»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатино-Садовники, улица Академика Миллионщикова, дом 19"
314219,Кофейня Кондитерская,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатинский Затон, Судостроительная улица, дом 32"
339484,Кофейня Paulo Frau,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатинский Затон, Якорная улица, дом 4"
21539,ШКОЛА 515 «КОМБИНАТ ДОШКОЛЬНОГО ПИТАНИЯ»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Артековская улица, дом 3"
21584,Столовая ШКОЛА 537 «КОМБИНАТ ДОШКОЛЬНОГО ПИТАНИЯ»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Балаклавский проспект, дом 6"
329973,Донер77,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Чонгарский бульвар, дом 10, корпус 1"
83891,Вкусно - и точка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Чонгарский бульвар, дом 19"
259109,CAMERA OBSCURA,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Чонгарский бульвар, дом 7"
369965,Крошка картошка натурально вкусно,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Чонгарский бульвар, дом 7"
19939,Якитория,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ново-Переделкино, Боровское шоссе, дом 51, строение 1"
285484,Мангал Time,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ново-Переделкино, улица Федосьино, дом 4"
19630,Донер Кебаб,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ново-Переделкино, улица Шолохова, дом 4"
286330,Кафе Ланч,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новогиреево, Кусковская улица, дом 20А"
195919,Вкусно - и точка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новогиреево, Свободный проспект, дом 33А"
203219,Кофе с собой,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Обручевский, Профсоюзная улица, дом 56"
311195,Кофейня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Обручевский, Профсоюзная улица, дом 56"
327060,Right Habits Gastrobar,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Обручевский, улица Архитектора Власова, дом 47"
285723,Осие,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Обручевский, улица Гарибальди, дом 24, корпус 2"
23915,Сити,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Обручевский, улица Миклухо-Маклая, дом 17"
280384,Пекарня «Донеретто»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Обручевский, улица Новаторов, дом 40, корпус 16"
284279,Я люблю Суши,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Северное, Борисовский проезд, владение 18А"
367931,Горячая выпечка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Северное, Борисовский проезд, дом 14, корпус 1"
290080,Трактир «Шашлычок»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Северное, Каширское шоссе, дом 61, корпус 3А"
342210,Суши-Ролы Токио,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Северное, Каширское шоссе, дом 80"
367004,Efir Lounge,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Северное, улица Генерала Белова, дом 29"
280945,Пицца-Батут,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Северное, улица Генерала Белова, дом 8"
332241,Пекарня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Южное, Шипиловский проезд, дом 65, корпус 1"
237818,Гасымов Рашад Логман Оглы,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, Звёздный бульвар, дом 21, строение 1"
359962,Скульптор- бургер,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, проспект Мира, дом 119, строение 501"
28276,КАФЕ 7-ОЙ ЭТАЖ ФГУП ТТЦ «ОСТАНКИНО»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, улица Академика Королёва, дом 12"
311166,Крошка Картошка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Отрадное, Сигнальный проезд, дом 17"
328476,Кафетерий при ледовом катке «Синяя птица»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Отрадное, улица Бестужевых, дом 9Б"
308866,Burger club,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Отрадное, улица Декабристов, дом 12"
373936,Крошка Картошка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Отрадное, улица Декабристов, дом 12"
296032,Палки-Скалки пицца суши вок,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Отрадное, улица Римского-Корсакова, дом 11, корпус 8, помещение 9Н"
284427,Cinnabon,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Аминьевское шоссе, дом 6"
314270,Surf coffee,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Аминьевское шоссе, дом 6"
328344,Осетинский пирог,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Матвеевская улица, дом 4, корпус 1"
22864,Вкусно - и точка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Матвеевская улица, дом 9"
326390,Damil,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Рябиновая улица, дом 28А, строение 1"
367049,Донер,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 38/18"
269008,Кофе навсегда,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, 3-я Владимирская улица, дом 31/33"
293441,СушиШоп,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, 3-я Владимирская улица, дом 6"
170269,White Star Lounge,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, Новогиреевская улица, дом 29, корпус 1"
309885,Милти,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, Электродная улица, дом 2, строение 1"
184954,Кафе Исфара,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, улица Плеханова, дом 9"
285133,Крафтовый бар-магазин 13 Rules Craft Beer,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 48/1"
241032,Кофейня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 50А, строение 6"
265191,"КАФЕ,шаурма","Российская Федерация, город Москва, внутригородская территория муниципальный округ Печатники, Южнопортовая улица, дом 22, строение 1"
176164,Fox&Grapes pub,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Печатники, улица Гурьянова, дом 3"
284133,G-Voice,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Покровское-Стрешнево, Волоколамское шоссе, домовладение 89, строение 1"
369485,Bonitto вьетнамская кухня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Покровское-Стрешнево, Тушинская улица, дом 18"
343204,Karavin,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Преображенское, Открытое шоссе, дом 4, строение 1"
343242,Bowl Famili,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Преображенское, Открытое шоссе, дом 4, строение 1"
194198,Столовая «Ватрушка»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, 2-я Звенигородская улица, дом 13, строение 41"
302506,Просто Кофе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, 2-я Звенигородская улица, дом 13, строение 41"
321743,Хука Плейс Орден,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Баррикадная улица, дом 2/1, строение 1"
331472,Yoshimi,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Баррикадная улица, дом 2/1, строение 1"
150162,Кафе «Му Му»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Баррикадная улица, дом 21/34, строение 3"
290962,Knigevarke,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Богословский переулок, дом 16/6, строение 1"
219027,Три Обезьяны,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Большая Грузинская улица, дом 4-6, строение 1В"
257467,Loro,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Большая Никитская улица, дом 21/18, строение 1"
368408,T1,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Большая Никитская улица, дом 24/1, строение 6"
254674,Тенили,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Большая Садовая улица, дом 14, строение 6"
310256,Tsunami,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Большая Садовая улица, дом 14, строение 6"
314882,Shishka,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Большая Садовая улица, дом 14, строение 6"
283543,Эгоист,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Большая Садовая улица, дом 5"
331458,Cape,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Большой Козихинский переулок, дом 12/2"
283675,Share,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Вознесенский переулок, дом 5, строение 1"
309533,Правда Кофе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Зоологическая улица, дом 4"
202953,Кафе «Mates»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Малая Бронная улица, дом 16"
164495,Бар-ресторан «Гейша»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Малая Бронная улица, дом 2, строение 1"
125871,Бар «Киану»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Малая Бронная улица, дом 28"
321995,Carrots and Beans,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Малая Грузинская улица, дом 38"
207434,Hydra Bar,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Никитский бульвар, дом 11/12, строение 1"
352709,Baguette,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Новинский бульвар, дом 31"
167394,Prime,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Пресненская набережная, дом 10"
186513,Ресторан «ABC Kitchen»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Пресненская набережная, дом 6, строение 2"
167291,Ресторан Buba by Sumosan,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Пресненская набережная, дом 8, строение 1, машино-место 5134"
288565,Буфетоф,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Пресненская набережная, дом 8, строение 1, машино-место 5134"
338053,Gastrobar,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Пресненская набережная, дом 8, строение 1, машино-место 5134"
366971,ШефДонер,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Садовая-Кудринская улица, дом 3А"
366972,Кофейня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Садовая-Кудринская улица, дом 3А"
275106,BB Cafe,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Скатертный переулок, дом 13"
308827,+39 Pizzeria Mozzarella bar,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Столярный переулок, дом 3, корпус 12"
324806,Karavin,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Столярный переулок, дом 3, корпус 12"
296960,Niqa,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Тверской бульвар, дом 14, строение 5"
284769,Фо Бо,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Тишинская площадь, дом 1, строение 1"
303928,Ti Pan Da,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Тишинская площадь, дом 1, строение 1"
352299,Камераобскура,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Тишинская площадь, дом 1, строение 1"
369376,Суши Store,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Тишинская площадь, дом 1, строение 1"
348406,Фудхаус,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Шелепихинская набережная, дом 14"
24219,Кафе «Чашки»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Шмитовский проезд, дом 16, строение 2"
298313,Tokpokki,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица 1905 Года, дом 9, строение 1"
311827,Джаганнат,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица Грузинский Вал, дом 28/45"
366179,Кофе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица Грузинский Вал, дом 28/45"
329063,Советская Чебуречная,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица Красина, дом 27, строение 1"
338602,Carrochi Osteria,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица Красина, дом 27, строение 1"
244203,Милти,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица Красная Пресня, дом 23, корпус Б, строение 1"
295410,Grace bistro,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица Спиридоновка, дом 25/20, строение 1"
312279,Berry fruit,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Проспект Вернадского, Ленинский проспект, дом 108, строение 1"
360457,Заморская лавка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Проспект Вернадского, Ленинский проспект, дом 108, строение 1"
373545,Вьетнамская кухня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Проспект Вернадского, Ленинский проспект, дом 108, строение 1"
261541,Ресторан Иль патио Планета суши,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, Мичуринский проспект, дом 27"
350806,PHO HA вьетнамская уличная еда,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, Мичуринский проспект, дом 27"
274369,Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, Мичуринский проспект, дом 34"
289874,КОФЕМАНИЯ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, Мосфильмовская улица, дом 1А"
266747,DOUGHNUTS CAFE,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6"
285169,MYBOX,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6"
332085,Jeffreys Coffeshop,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6"
348958,Фудтрак ( 4 объекта),"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6"
294593,Суши Store,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, Рязанский проспект, дом 30, корпус 2"
311763,"Шаурма, выпечка","Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, Рязанский проспект, дом 46, корпус 7"
359030,Заравшан,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, Рязанский проспект, дом 69"
362432,Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, Рязанский проспект, дом 75, корпус 2"
174822,Милти,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савелки, город Зеленоград, Савёлкинский проезд, дом 4, помещение 11П"
71091,Столовая в префектуре,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савелки, город Зеленоград, Центральный проспект, дом 1"
291704,Шаурмечная,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савелки, город Зеленоград, корпус 617А"
316899,Плов-Центр,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савелки, город Зеленоград, корпус 617А"
372996,Srеда,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, 2-я Квесисская улица, дом 23"
285155,Паб Delirium tremens,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, Бутырская улица, дом 75"
371020,Ma Mi ХАНОЙСКАЯ ЛАПША,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, Вятская улица, дом 27, строение 2"
274318,Хмель и Солод,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, Петровско-Разумовский проезд, дом 16"
138114,Jacky Jacky Gastrobar,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, улица Верхняя Масловка, дом 20, строение 1"
353527,Le Chaton Gris,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Свиблово, Сельскохозяйственная улица, дом 38, корпус 2"
278610,Кафе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Свиблово, проезд Нансена, владение 3Б"
211192,Вкусно - и точка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Свиблово, проспект Мира, дом 211, корпус 2"
275053,CINNABON,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Свиблово, проспект Мира, дом 211, корпус 2"
320524,IKIGAI,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Свиблово, проспект Мира, дом 211, корпус 2"
88592,Вкусно - и точка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Бутово, Старокачаловская улица, дом 5А"
276369,Вьетнамская кухня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Бутово, Старокачаловская улица, дом 5А"
354381,Cofix,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Бутово, Старокачаловская улица, дом 5А"
313456,KFC,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Измайлово, 3-я Парковая улица, дом 57"
328673,BrotherS BAR,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Измайлово, 3-я Парковая улица, дом 57"
146703,Ресторан Янтарь,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Измайлово, Щёлковский проезд, дом 13"
